OrderNumber,SalesChannel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,_SalesTeamID,SalesTeam,_CustomerID,Customer,Sales_Region,_StoreID,_ProductID,Product,OrderQuantity,DiscountApplied,UnitPrice,UnitCost,CityName,County,StateCode,State,Type,Latitude,Longitude,AreaCode,Population,HouseholdIncome,MedianIncome,LandArea,WaterArea,TimeZone
SO - 000114,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/7/2018,6/15/2018,USD,8,George Lewis,17,Pure Group,West,291,32,Vases,6.000000,0.150000,254.600000,216.41,Portland,Clackamas County/Multnomah County/Washington County,OR,Oregon,City,45.536950,-122.649970,503.000000,632309.000000,254167.000000,55003.000000,345657944.000000,30147582.000000,America/Los Angeles
SO - 000115,In-Store,WARE-NMK1003,12/31/2017,6/1/2018,6/15/2018,6/20/2018,USD,9,Joshua Ryan,32,OHTA'S Corp,Midwest,138,6,Computers,6.000000,0.150000,3932.900000,3146.32,West Palm Beach,Palm Beach County,FL,Florida,City,26.715340,-80.053370,561.000000,106779.000000,41474.000000,45800.000000,142798170.000000,6628847.000000,America/New York
SO - 000116,In-Store,WARE-MKL1006,12/31/2017,6/1/2018,6/24/2018,7/2/2018,USD,5,Stephen Payne,11,Apollo Ltd,South,354,25,TV and video,3.000000,0.050000,1112.200000,700.69,Norfolk,Norfolk city,VA,Virginia,City,36.846810,-76.285220,757.000000,246393.000000,87045.000000,44480.000000,137985835.000000,111697132.000000,America/New York
SO - 000117,In-Store,WARE-PUJ1005,4/10/2018,6/1/2018,6/19/2018,6/27/2018,USD,9,Joshua Ryan,10,21st Ltd,Midwest,320,6,Computers,3.000000,0.075000,1239.500000,904.84,Frisco,Collin County/Denton County,TX,Texas,City,33.155430,-96.822600,972.000000,154407.000000,45452.000000,114098.000000,175272056.000000,1449212.000000,America/Chicago
SO - 000118,In-Store,WARE-XYS1001,4/10/2018,6/1/2018,6/6/2018,6/14/2018,USD,8,George Lewis,30,S.S.S. Group,West,21,3,Table Lamps,4.000000,0.100000,984.900000,393.96,Carlsbad,San Diego County,CA,California,City,33.158090,-117.350590,760.000000,113453.000000,42791.000000,90597.000000,97713477.000000,3595655.000000,America/Los Angeles
SO - 000119,In-Store,WARE-MKL1006,4/10/2018,6/1/2018,6/7/2018,6/15/2018,USD,5,Stephen Payne,5,Procter Corp,South,349,20,Bar Tools,4.000000,0.100000,5581.100000,4130.01,Alexandria,Alexandria city,VA,Virginia,City,38.804840,-77.046920,571.000000,153511.000000,66879.000000,89134.000000,38977688.000000,1127171.000000,America/New York
SO - 000120,Online,WARE-NMK1003,12/31/2017,6/1/2018,6/11/2018,6/17/2018,USD,14,Paul Holmes,23,E. Ltd,Midwest,134,24,Wall Frames,4.000000,0.050000,3095.400000,1795.33,Spring Hill,Hernando County,FL,Florida,CDP,28.476890,-82.525460,352.000000,100270.000000,39038.000000,41308.000000,154983928.000000,6194314.000000,America/New York
SO - 000121,Wholesale,WARE-NMK1003,4/10/2018,6/1/2018,6/18/2018,6/20/2018,USD,25,Patrick Graham,46,U.S. Ltd,South,193,33,Outdoor Decor,4.000000,0.400000,2278.000000,1754.06,Wayne,Marion County,IN,Indiana,Township,39.771860,-86.260940,317.000000,142010.000000,52540.000000,35884.000000,126591941.000000,1036389.000000,America/Indiana/Indianapolis
SO - 000122,In-Store,WARE-PUJ1005,4/10/2018,6/2/2018,6/10/2018,6/16/2018,USD,2,Keith Griffin,14,Linde ,Northeast,282,1,Cookware,7.000000,0.075000,991.600000,654.46,Dayton,Montgomery County,OH,Ohio,City,39.758950,-84.191610,937.000000,140599.000000,57316.000000,27683.000000,144197693.000000,2208312.000000,America/New York
SO - 000123,In-Store,WARE-XYS1001,4/10/2018,6/2/2018,6/26/2018,6/28/2018,USD,7,Shawn Cook,40,Select ,Midwest,20,35,Table Linens,2.000000,0.200000,3979.800000,3064.45,Burbank,Los Angeles County,CA,California,City,34.180840,-118.308970,818.000000,105319.000000,41361.000000,66076.000000,44947219.000000,94286.000000,America/Los Angeles
SO - 000124,Distributor,WARE-UHY1004,12/31/2017,6/2/2018,6/22/2018,7/2/2018,USD,24,Roy Rice,19,Qualitest ,Midwest,218,15,Outdoor Furniture,3.000000,0.400000,1969.800000,866.71,Warren,Macomb County,MI,Michigan,City,42.499820,-83.005490,586.000000,135358.000000,53493.000000,43523.000000,89052398.000000,191291.000000,America/Detroit
SO - 000125,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/16/2018,6/24/2018,USD,4,Chris Armstrong,15,Rochester Ltd,Northeast,173,13,Bakeware,1.000000,0.150000,268.000000,131.32,Rockford,Winnebago County/Ogle County,IL,Illinois,City,42.258840,-89.064550,815.000000,148278.000000,58559.000000,38716.000000,164382960.000000,2627885.000000,America/Chicago
SO - 000126,Online,WARE-NMK1003,12/31/2017,6/2/2018,6/21/2018,7/1/2018,USD,18,Shawn Wallace,46,U.S. Ltd,South,110,24,Wall Frames,7.000000,0.100000,174.200000,95.81,Stamford (Town),Fairfield County,CT,Connecticut,Town,41.079860,-73.546030,203.000000,128874.000000,46974.000000,79359.000000,97430571.000000,37323740.000000,America/New York
SO - 000127,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/26/2018,7/6/2018,USD,7,Shawn Cook,32,OHTA'S Corp,Midwest,229,46,Sculptures,3.000000,0.075000,2988.200000,2510.09,Cary,Chatham County/Wake County,NC,North Carolina,Town,35.780880,-78.813270,919.000000,159769.000000,56034.000000,91579.000000,146322917.000000,2815890.000000,America/New York
SO - 000128,In-Store,WARE-UHY1004,12/31/2017,6/2/2018,6/20/2018,6/29/2018,USD,9,Joshua Ryan,32,OHTA'S Corp,Midwest,238,36,Clocks,4.000000,0.050000,3999.900000,2679.93,Fargo,Cass County,ND,North Dakota,City,46.877190,-96.789800,701.000000,118523.000000,49962.000000,46175.000000,127714801.000000,0.000000,America/Chicago
SO - 000129,Distributor,WARE-NMK1003,4/10/2018,6/2/2018,6/21/2018,6/22/2018,USD,20,Anthony Torres,22,Capweld ,West,97,37,Platters,3.000000,0.050000,5976.400000,2450.32,Greeley,Weld County,CO,Colorado,City,40.423310,-104.709130,970.000000,100883.000000,33774.000000,48813.000000,123893579.000000,314890.000000,America/Denver
SO - 000130,In-Store,WARE-NMK1003,4/10/2018,6/2/2018,6/27/2018,6/29/2018,USD,8,George Lewis,5,Procter Corp,West,103,32,Vases,5.000000,0.100000,2901.100000,2378.90,Bridgeport,Fairfield County,CT,Connecticut,City,41.167040,-73.204830,203.000000,147629.000000,50367.000000,41801.000000,41591056.000000,8721419.000000,America/New York
SO - 000131,In-Store,WARE-PUJ1005,4/10/2018,6/3/2018,6/26/2018,7/5/2018,USD,8,George Lewis,29,"Apotheca, Ltd",West,305,23,Accessories,7.000000,0.075000,6076.900000,2734.61,Murfreesboro,Rutherford County,TN,Tennessee,City,35.845620,-86.390270,615.000000,126118.000000,44518.000000,51094.000000,144718226.000000,387261.000000,America/Chicago
SO - 000132,Online,WARE-PUJ1005,12/31/2017,6/3/2018,6/5/2018,6/10/2018,USD,13,Todd Roberts,35,Amylin Group,West,303,14,Mirrors,7.000000,0.200000,5735.200000,4186.70,Knoxville,Knox County,TN,Tennessee,City,35.960640,-83.920740,865.000000,185291.000000,81073.000000,34226.000000,255161763.000000,14631856.000000,America/New York
SO - 000133,Online,WARE-UHY1004,12/31/2017,6/3/2018,6/30/2018,7/10/2018,USD,19,Nicholas Cunningham,46,U.S. Ltd,South,217,7,Dinnerware,3.000000,0.100000,3919.500000,2077.34,Sterling Heights,Macomb County,MI,Michigan,City,42.580310,-83.030200,586.000000,132052.000000,49444.000000,60089.000000,94553340.000000,753481.000000,America/Detroit
SO - 000134,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/30/2018,7/5/2018,USD,17,Frank Brown,42,Llorens Ltd,Northeast,362,46,Sculptures,1.000000,0.050000,6083.600000,3832.67,Spokane,Spokane County,WA,Washington,City,47.658780,-117.426050,509.000000,213272.000000,87623.000000,42386.000000,178034003.000000,1984449.000000,America/Los Angeles
SO - 000135,Wholesale,WARE-MKL1006,4/10/2018,6/3/2018,6/14/2018,6/15/2018,USD,26,Donald Reynolds,2,WakeFern ,South,335,40,Rugs,5.000000,0.075000,2566.100000,1642.30,Pearland,Fort Bend County/Harris County/Brazoria County,TX,Texas,City,29.555760,-95.323070,832.000000,108821.000000,34776.000000,95972.000000,119994309.000000,454012.000000,America/Chicago
SO - 000136,Distributor,WARE-NBV1002,12/31/2017,6/3/2018,6/7/2018,6/13/2018,USD,22,Joe Price,28,Dharma Ltd,Northeast,84,38,Wardrobes,2.000000,0.075000,2278.000000,1093.44,Torrance,Los Angeles County,CA,California,City,33.835850,-118.340630,424.000000,148475.000000,55377.000000,79549.000000,53038407.000000,194217.000000,America/Los Angeles
SO - 000137,In-Store,WARE-UHY1004,12/31/2017,6/3/2018,6/14/2018,6/21/2018,USD,7,Shawn Cook,46,U.S. Ltd,Midwest,256,1,Cookware,1.000000,0.075000,261.300000,120.20,Spring Valley,Clark County,NV,Nevada,CDP,36.108030,-115.245000,702.000000,183937.000000,70748.000000,50192.000000,86125947.000000,0.000000,America/Los Angeles
SO - 000138,Online,WARE-MKL1006,12/31/2017,6/3/2018,6/28/2018,7/8/2018,USD,12,Carl Nguyen,22,Capweld ,Midwest,360,17,Furniture Cushions,8.000000,0.050000,998.300000,698.81,Renton,King County,WA,Washington,City,47.482880,-122.217070,425.000000,100242.000000,37994.000000,64802.000000,60663567.000000,511360.000000,America/Los Angeles
SO - 000139,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/13/2018,6/21/2018,USD,4,Chris Armstrong,34,OUR Ltd,Northeast,90,40,Rugs,6.000000,0.200000,3497.400000,1958.54,Arvada,Jefferson County/Adams County,CO,Colorado,City,39.833730,-105.150310,303.000000,115368.000000,44615.000000,69938.000000,100047257.000000,1882996.000000,America/Denver
SO - 000140,In-Store,WARE-NMK1003,12/31/2017,6/3/2018,6/18/2018,6/28/2018,USD,9,Joshua Ryan,26,Mylan Corp,Midwest,196,25,TV and video,4.000000,0.050000,1132.300000,486.89,Overland Park,Johnson County,KS,Kansas,City,38.982230,-94.670790,913.000000,186515.000000,74830.000000,72463.000000,194562941.000000,1309517.000000,America/Chicago
SO - 000141,In-Store,WARE-XYS1001,12/31/2017,6/3/2018,6/15/2018,6/17/2018,USD,7,Shawn Cook,26,Mylan Corp,Midwest,40,2,Photo Frames,7.000000,0.050000,2405.300000,1587.50,Glendale,Los Angeles County,CA,California,City,34.142510,-118.255080,818.000000,201020.000000,71498.000000,52574.000000,78818661.000000,337115.000000,America/Los Angeles
SO - 000142,Distributor,WARE-MKL1006,12/31/2017,6/3/2018,6/24/2018,7/3/2018,USD,24,Roy Rice,24,Burt's Corp,Midwest,367,3,Table Lamps,8.000000,0.050000,5701.700000,3249.97,Milwaukee,Milwaukee County/Washington County/Waukesha County,WI,Wisconsin,City,43.063350,-87.966700,414.000000,600155.000000,230807.000000,35958.000000,249128870.000000,1720458.000000,America/Chicago
SO - 000143,Distributor,WARE-UHY1004,12/31/2017,6/4/2018,6/9/2018,6/16/2018,USD,25,Patrick Graham,18,Eminence Corp,South,249,34,Bedroom Furniture,1.000000,0.200000,2452.200000,1446.80,Las Cruces,Do̱a Ana County,NM,New Mexico,City,32.312320,-106.778340,575.000000,101643.000000,38925.000000,41330.000000,199270395.000000,250842.000000,America/Denver
SO - 000144,In-Store,WARE-XYS1001,12/31/2017,6/4/2018,6/30/2018,7/4/2018,USD,11,Joshua Little,21,Ohio ,South,6,11,Ornaments,3.000000,0.050000,3095.400000,2012.01,Chandler,Maricopa County,AZ,Arizona,City,33.306160,-111.841250,480.000000,260828.000000,88973.000000,72695.000000,168153308.000000,260378.000000,America/Phoenix
SO - 000145,Online,WARE-UHY1004,12/31/2017,6/4/2018,6/12/2018,6/14/2018,USD,15,Roger Alexander,14,Linde ,Midwest,212,8,Cocktail Glasses,4.000000,0.400000,3865.900000,2164.90,Columbia,Howard County,MD,Maryland,CDP,39.240380,-76.839420,410.000000,102116.000000,39893.000000,100849.000000,82691135.000000,667179.000000,America/New York
SO - 000146,Distributor,WARE-XYS1001,12/31/2017,6/4/2018,6/10/2018,6/15/2018,USD,23,Douglas Tucker,3,"Elorac, Corp",Midwest,37,11,Ornaments,8.000000,0.100000,2304.800000,1382.88,Fresno,Fresno County,CA,California,City,36.747730,-119.772370,559.000000,520052.000000,161914.000000,41531.000000,296267437.000000,732167.000000,America/Los Angeles
SO - 000147,Online,WARE-XYS1001,12/31/2017,6/4/2018,6/21/2018,6/24/2018,USD,17,Frank Brown,13,Ole Group,Northeast,38,35,Table Linens,3.000000,0.050000,3195.900000,1470.11,Fullerton,Orange County,CA,California,City,33.870290,-117.925340,657.000000,140847.000000,45031.000000,65974.000000,58100816.000000,28063.000000,America/Los Angeles
SO - 000148,Online,WARE-PUJ1005,12/31/2017,6/4/2018,6/19/2018,6/26/2018,USD,18,Shawn Wallace,49,Bare ,South,294,33,Outdoor Decor,7.000000,0.050000,6452.100000,5161.68,Philadelphia,Philadelphia County,PA,Pennsylvania,City,39.952340,-75.163790,445.000000,1567442.000000,581050.000000,38253.000000,347519465.000000,22089787.000000,America/New York
SO - 000149,Distributor,WARE-NMK1003,12/31/2017,6/5/2018,6/14/2018,6/17/2018,USD,24,Roy Rice,4,ETUDE Ltd,Midwest,105,16,Stemware,3.000000,0.300000,2003.300000,921.52,Hartford,Hartford County,CT,Connecticut,City,41.763710,-72.685090,959.000000,124006.000000,45239.000000,30630.000000,45016120.000000,1748078.000000,America/New York
SO - 000150,Distributor,WARE-XYS1001,4/10/2018,6/5/2018,6/28/2018,7/7/2018,USD,23,Douglas Tucker,20,Pacific Ltd,Midwest,17,8,Cocktail Glasses,8.000000,0.050000,3638.100000,1455.24,Antioch,Contra Costa County,CA,California,City,38.004920,-121.805790,925.000000,110542.000000,33718.000000,64329.000000,76173197.000000,1842711.000000,America/Los Angeles
SO - 000151,In-Store,WARE-NMK1003,4/10/2018,6/5/2018,6/14/2018,6/17/2018,USD,4,Chris Armstrong,19,Qualitest ,Northeast,109,44,Pillows,3.000000,0.075000,2278.000000,1822.40,Stamford,Fairfield County,CT,Connecticut,City,41.053430,-73.538730,203.000000,128874.000000,46974.000000,79359.000000,97430571.000000,37323740.000000,America/New York
SO - 000152,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/25/2018,6/29/2018,USD,16,Anthony Berry,25,Prasco Group,West,141,22,Wine Storage,6.000000,0.300000,924.600000,582.50,Augusta,Richmond County,GA,Georgia,Consolidated Government,33.361490,-82.075000,706.000000,201793.000000,73917.000000,39464.000000,840008393.000000,11042219.000000,America/New York
SO - 000153,Online,WARE-NMK1003,4/10/2018,6/5/2018,6/21/2018,7/1/2018,USD,19,Nicholas Cunningham,8,Medsep Group,South,111,16,Stemware,5.000000,0.050000,3926.200000,3062.44,Waterbury,New Haven County,CT,Connecticut,City,41.558150,-73.051500,203.000000,108802.000000,40213.000000,40467.000000,73880017.000000,1086045.000000,America/New York
SO - 000154,Distributor,WARE-MKL1006,12/31/2017,6/5/2018,6/12/2018,6/18/2018,USD,23,Douglas Tucker,24,Burt's Corp,Midwest,349,25,TV and video,4.000000,0.075000,3825.700000,2257.16,Alexandria,Alexandria city,VA,Virginia,City,38.804840,-77.046920,571.000000,153511.000000,66879.000000,89134.000000,38977688.000000,1127171.000000,America/New York
SO - 000155,Wholesale,WARE-MKL1006,12/31/2017,6/5/2018,7/3/2018,7/8/2018,USD,27,Shawn Torres,13,Ole Group,Northeast,360,4,Serveware,3.000000,0.050000,2257.900000,1377.32,Renton,King County,WA,Washington,City,47.482880,-122.217070,425.000000,100242.000000,37994.000000,64802.000000,60663567.000000,511360.000000,America/Los Angeles
SO - 000156,Distributor,WARE-NMK1003,12/31/2017,6/6/2018,7/2/2018,7/8/2018,USD,24,Roy Rice,32,OHTA'S Corp,Midwest,148,33,Outdoor Decor,8.000000,0.075000,1112.200000,756.30,Davenport,Scott County,IA,Iowa,City,41.523640,-90.577640,563.000000,102582.000000,41100.000000,47343.000000,162885999.000000,5501339.000000,America/Chicago
SO - 000157,Online,WARE-NMK1003,12/31/2017,6/6/2018,6/22/2018,6/23/2018,USD,19,Nicholas Cunningham,28,Dharma Ltd,South,103,45,Home Fragrances,8.000000,0.050000,3557.700000,1814.43,Bridgeport,Fairfield County,CT,Connecticut,City,41.167040,-73.204830,203.000000,147629.000000,50367.000000,41801.000000,41591056.000000,8721419.000000,America/New York
SO - 000158,Online,WARE-NBV1002,12/31/2017,6/6/2018,6/9/2018,6/12/2018,USD,13,Todd Roberts,8,Medsep Group,West,59,45,Home Fragrances,3.000000,0.400000,2371.800000,1233.34,Pasadena,Los Angeles County,CA,California,City,34.147780,-118.144520,626.000000,142250.000000,54536.000000,72402.000000,59524677.000000,377058.000000,America/Los Angeles
SO - 000159,Online,WARE-NBV1002,12/31/2017,6/6/2018,7/1/2018,7/4/2018,USD,14,Paul Holmes,47,Niconovum Corp,Midwest,60,1,Cookware,1.000000,0.400000,857.600000,686.08,Pomona,Los Angeles County,CA,California,City,34.055290,-117.752280,909.000000,153266.000000,39378.000000,49186.000000,59446734.000000,26188.000000,America/Los Angeles
SO - 000160,In-Store,WARE-UHY1004,12/31/2017,6/7/2018,6/14/2018,6/16/2018,USD,11,Joshua Little,33,Trigen ,South,238,20,Bar Tools,5.000000,0.300000,3892.700000,2880.60,Fargo,Cass County,ND,North Dakota,City,46.877190,-96.789800,701.000000,118523.000000,49962.000000,46175.000000,127714801.000000,0.000000,America/Chicago
SO - 000161,In-Store,WARE-NMK1003,12/31/2017,6/7/2018,6/13/2018,6/15/2018,USD,3,Jerry Green,26,Mylan Corp,West,151,21,Floral,6.000000,0.075000,3477.300000,1390.92,Aurora,Kendall County/Kane County/Will County/DuPage County,IL,Illinois,City,41.763460,-88.290100,630.000000,200661.000000,61449.000000,63090.000000,116273603.000000,2278285.000000,America/Chicago
SO - 000162,Online,WARE-NMK1003,12/31/2017,6/7/2018,6/11/2018,6/21/2018,USD,13,Todd Roberts,20,Pacific Ltd,West,152,44,Pillows,5.000000,0.100000,3738.600000,2803.95,Aurora (Township),Kane County,IL,Illinois,Township,41.768870,-88.318930,630.000000,148308.000000,44798.000000,49797.000000,89841331.000000,1727843.000000,America/Chicago
SO - 000163,Online,WARE-PUJ1005,4/10/2018,6/7/2018,6/10/2018,6/13/2018,USD,20,Anthony Torres,6,"PEDIFIX, Corp",West,262,8,Cocktail Glasses,5.000000,0.300000,1072.000000,589.60,Buffalo,Erie County,NY,New York,City,42.886450,-78.878370,716.000000,258071.000000,110549.000000,31918.000000,104592941.000000,31362925.000000,America/New York
SO - 000164,In-Store,WARE-NMK1003,4/10/2018,6/7/2018,7/1/2018,7/2/2018,USD,5,Stephen Payne,40,Select ,South,120,46,Sculptures,7.000000,0.050000,2257.900000,1761.16,Gainesville,Alachua County,FL,Florida,City,29.651630,-82.324830,352.000000,130128.000000,47968.000000,31818.000000,161411152.000000,3017660.000000,America/New York
SO - 000165,Online,WARE-UHY1004,4/10/2018,6/7/2018,6/11/2018,6/13/2018,USD,18,Shawn Wallace,23,E. Ltd,South,233,46,Sculptures,3.000000,0.100000,1058.600000,751.61,Greensboro,Guilford County,NC,North Carolina,City,36.072640,-79.791980,336.000000,285342.000000,114080.000000,41628.000000,332338206.000000,13707999.000000,America/New York
SO - 000166,Online,WARE-NBV1002,4/10/2018,6/7/2018,6/15/2018,6/25/2018,USD,13,Todd Roberts,38,Ascend Ltd,West,77,39,Floor Lamps,4.000000,0.100000,2492.400000,1296.05,Santa Maria,Santa Barbara County,CA,California,City,34.953030,-120.435720,805.000000,105093.000000,27365.000000,50433.000000,59005328.000000,1648788.000000,America/Los Angeles
SO - 000167,In-Store,WARE-NBV1002,4/10/2018,6/7/2018,6/13/2018,6/21/2018,USD,4,Chris Armstrong,30,S.S.S. Group,Northeast,69,11,Ornaments,5.000000,0.050000,3852.500000,2465.60,San Buenaventura (Ventura),Ventura County,CA,California,City,34.267780,-119.254210,805.000000,109708.000000,41029.000000,66995.000000,56500370.000000,27033715.000000,America/Los Angeles
SO - 000168,Distributor,WARE-UHY1004,12/31/2017,6/8/2018,6/19/2018,6/25/2018,USD,23,Douglas Tucker,42,Llorens Ltd,Midwest,215,37,Platters,8.000000,0.050000,241.200000,132.66,Grand Rapids,Kent County,MI,Michigan,City,42.963360,-85.668090,616.000000,195097.000000,73026.000000,40355.000000,115103540.000000,2252017.000000,America/Detroit
SO - 000169,In-Store,WARE-XYS1001,12/31/2017,6/8/2018,6/11/2018,6/17/2018,USD,9,Joshua Ryan,1,Avon Corp,Midwest,30,35,Table Linens,2.000000,0.150000,1051.900000,494.39,El Cajon,San Diego County,CA,California,City,32.794770,-116.962530,619.000000,103679.000000,32564.000000,45925.000000,37516310.000000,0.000000,America/Los Angeles
SO - 000170,distributor,WARE-NMK1003,12/31/2017,6/8/2018,6/14/2018,6/19/2018,USD,25,Patrick Graham,11,Apollo Ltd,South,169,10,Blankets,5.000000,0.300000,227.800000,107.07,Palatine (Township),Cook County,IL,Illinois,Township,42.111250,-88.064400,847.000000,114057.000000,42938.000000,77545.000000,92499527.000000,989285.000000,America/Chicago
SO - 000171,distributor,WARE-MKL1006,4/10/2018,6/8/2018,6/14/2018,6/15/2018,USD,24,Roy Rice,4,ETUDE Ltd,Midwest,333,14,Mirrors,5.000000,0.050000,1078.700000,506.99,Odessa,Midland County/Ector County,TX,Texas,City,31.883780,-102.341060,432.000000,118968.000000,39057.000000,59337.000000,117009169.000000,667150.000000,America/Chicago
SO - 000172,Wholesale,WARE-NMK1003,4/10/2018,6/8/2018,6/13/2018,6/20/2018,USD,28,Carlos Miller,6,"PEDIFIX, Corp",West,96,10,Blankets,8.000000,0.150000,1005.000000,743.70,Fort Collins,Larimer County,CO,Colorado,City,40.585260,-105.084420,970.000000,161175.000000,58918.000000,55647.000000,144576803.000000,3196479.000000,America/Denver
SO - 000173,distributor,WARE-PUJ1005,4/10/2018,6/8/2018,7/3/2018,7/9/2018,USD,24,Roy Rice,17,Pure Group,Midwest,289,45,Home Fragrances,5.000000,0.050000,2485.700000,1317.42,Gresham,Multnomah County,OR,Oregon,City,45.498180,-122.431480,503.000000,110553.000000,38773.000000,46956.000000,60342997.000000,532750.000000,America/Los Angeles
